S1,ST,S1_conf,ST_conf,names,Response,Method,ST-S1,Year
0.018993498733350406,0.07977529073941092,0.027873783809600466,0.06050527368419397,[Maize].Phenology.GrainFilling.Target.FixedValue,AGB,fast,0.060781792006060514,2003
0.002943926510279565,0.017313990727970685,0.03276431031949271,0.05703441933530156,[Maize].Cob.DMDemands.Structural.DMDemandFunction.MaximumOrganWt.FixedValue,AGB,fast,0.01437006421769112,2003
0.010809620902719152,0.058050457994737736,0.031893940177618894,0.05746111780308728,[Maize].Grain.MaximumGrainsPerCob.FixedValue,AGB,fast,0.04724083709201858,2003
0.00014863928808872196,0.005891378191483887,0.028487075165494622,0.05944247868869652,[Maize].Root.SpecificRootLength.FixedValue,AGB,fast,0.005742738903395165,2003
5.158312267062638e-05,0.008935284668106558,0.030582285593057302,0.05885773564870683,[Maize].Phenology.Maturing.Target.FixedValue,AGB,fast,0.008883701545435932,2003
0.011562970648912534,0.35735764649141155,0.03312198848360848,0.06510526814625828,[Maize].Leaf.Photosynthesis.RUE.FixedValue,AGB,fast,0.345794675842499,2003
0.01806885322881324,0.07648656555049704,0.036287409158230505,0.05635533429475332,[Maize].Grain.MaximumPotentialGrainSize.FixedValue,AGB,fast,0.0584177123216838,2003
0.0019794506727390387,0.019929013796321282,0.036618259681340026,0.06123257161043791,[Maize].Grain.MaximumNConc.InitialPhase.InitialNconc.FixedValue,AGB,fast,0.017949563123582243,2003
0.0007267051789141946,0.013304746934763134,0.035918025764503814,0.05455633113748397,[Maize].Phenology.MaturityToHarvestRipe.Target.FixedValue,AGB,fast,0.012578041755848939,2003
0.2700208876218984,0.757557656811933,0.033144906391517265,0.05316716802459292,[Maize].Phenology.Juvenile.Target.FixedValue,TopN2O,fast,0.4875367691900346,2003
7.999143468484518e-06,0.0010741921448967906,0.034755746124023185,0.05903965160408713,[Maize].Phenology.FlagLeafToFlowering.Target.FixedValue,TopN2O,fast,0.001066193001428306,2003
0.0003286221412418182,0.0015683671978433678,0.030596980003191252,0.06384488221206125,[Maize].Phenology.FloweringToGrainFilling.Target.FixedValue,TopN2O,fast,0.0012397450566015496,2003
0.009272577092548053,0.015590185963006875,0.03250877987377525,0.05282402565517301,[Maize].Phenology.GrainFilling.Target.FixedValue,TopN2O,fast,0.006317608870458822,2003
0.00019230943022888335,0.0013033301597822344,0.033021940029963275,0.058569394379949895,[Maize].Cob.DMDemands.Structural.DMDemandFunction.MaximumOrganWt.FixedValue,TopN2O,fast,0.001111020729553351,2003
0.003628386958130219,0.00622810050494349,0.03589489869445572,0.06584363443174567,[Maize].Grain.MaximumGrainsPerCob.FixedValue,TopN2O,fast,0.002599713546813271,2003
5.801506704042903e-06,0.0004509282335362075,0.030678446768192067,0.05382655941712336,[Maize].Root.SpecificRootLength.FixedValue,TopN2O,fast,0.00044512672683216456,2003
3.702524345519516e-05,0.0006475581852245504,0.03213100219113324,0.062007655316582026,[Maize].Phenology.Maturing.Target.FixedValue,TopN2O,fast,0.0006105329417693553,2003
0.1862441877701092,0.640764733998284,0.029715055898322285,0.05620305042736892,[Maize].Leaf.Photosynthesis.RUE.FixedValue,TopN2O,fast,0.45452054622817484,2003
0.06347734138565693,0.11833698086818589,0.029781283442552525,0.05888280879391991,[Maize].Grain.MaximumPotentialGrainSize.FixedValue,TopN2O,fast,0.05485963948252896,2003
0.0001519813924844535,0.0015096736084828644,0.02897661404195967,0.06293789656775037,[Maize].Grain.MaximumNConc.InitialPhase.InitialNconc.FixedValue,TopN2O,fast,0.0013576922159984108,2003
